,Minutes,,,%,%,%,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,times,%,times,None,HOST03_pmresult_60_202111161400_202111161500_AJKNewCountersFileHuaweiBI.csv,202111161400_202111161500
2021-11-16 14:00,60,"MIRP3006-Mirpur-PVT-PDG-PDC-FCB-Gld/Cell:eNodeB Function Name=MIRP3006-Mirpur-PVT-PDG-PDC-FCB-Gld, Local Cell ID=5, Cell Name=MIRP3006-5, eNodeB ID=43006, Cell FDD TDD indication=CELL_FDD",Reliable,9.369,56.061,22.975,99.574,20.964,158855823,14623332,1588836,0,1045,1045,309,309,338,338,2811110,309920,1148182,130882,1065687,101408,3564828,81336,0,0,6370265,239014,1942,100,1942,43.928,HOST03_pmresult_60_202111161400_202111161500_AJKNewCountersFileHuaweiBI.csv,202111161400_202111161500
2021-11-16 14:00,60,"MIRP3007-Charhoi-TNR-PDG-PDC-FCB-Gld-ACH801/Cell:eNodeB Function Name=MIRP3007-Charhoi-TNR-PDG-PDC-FCB-Gld-ACH801, Local Cell ID=0, Cell Name=MIRP3007-0, eNodeB ID=43007, Cell FDD TDD indication=CELL_FDD",Reliable,7.617,43.343,6.838,96.324,49.819,152184773,15770846,1012848,0,1618,1617,194,193,452,450,2951551,380941,454654,71103,3241571,588917,2699902,99828,0,0,20502126,5438712,4691,100,4691,76.204,HOST03_pmresult_60_202111161400_202111161500_AJKNewCountersFileHuaweiBI.csv,202111161400_202111161500
2021-11-16 14:00,60,"MIRP3007-Charhoi-TNR-PDG-PDC-FCB-Gld-ACH801/Cell:eNodeB Function Name=MIRP3007-Charhoi-TNR-PDG-PDC-FCB-Gld-ACH801, Local Cell ID=1, Cell Name=MIRP3007-1, eNodeB ID=43007, Cell FDD TDD indication=CELL_FDD",Reliable,9.249,44.051,32.669,97.488,23.28,82629032,87995779,440222,0,3762,3760,57,57,194,194,5058227,578664,3751859,428608,2622290,356681,3549514,291059,0,0,8436520,1075468,5709,100,5709,59.18,HOST03_pmresult_60_202111161400_202111161500_AJKNewCountersFileHuaweiBI.csv,202111161400_202111161500
2021-11-16 14:00,60,"MIRP3007-Charhoi-TNR-PDG-PDC-FCB-Gld-ACH801/Cell:eNodeB Function Name=MIRP3007-Charhoi-TNR-PDG-PDC-FCB-Gld-ACH801, Local Cell ID=2, Cell Name=MIRP3007-2, eNodeB ID=43007, Cell FDD TDD indication=CELL_FDD",Reliable,8.804,22.095,23.681,11.64,54.224,11997307,4356517,403596,0,414,414,27,27,86,86,163707,21494,170407,28087,422663,31848,1497160,10626,0,0,3215871,345975,619,100,619,22.424,HOST03_pmresult_60_202111161400_202111161500_AJKNewCountersFileHuaweiBI.csv,202111161400_202111161500
2021-11-16 14:00,60,"MIRP3007-Charhoi-TNR-PDG-PDC-FCB-Gld-ACH801/Cell:eNodeB Function Name=MIRP3007-Charhoi-TNR-PDG-PDC-FCB-Gld-ACH801, Local Cell ID=5, Cell Name=MIRP3007-5, eNodeB ID=43007, Cell FDD TDD indication=CELL_FDD",Reliable,10.389,33.591,46.681,96.256,19.727,64842435,103744509,282874,0,2790,2789,41,41,65,65,4120529,426175,5772464,545973,2416672,253485,3778981,276111,0,0,7631474,967749,3040,100,3040,70.052,HOST03_pmresult_60_202111161400_202111161500_AJKNewCountersFileHuaweiBI.csv,202111161400_202111161500
2021-11-16 14:00,60,"MIRP3007-Charhoi-TNR-PDG-PDC-FCB-Gld-ACH801/Cell:eNodeB Function Name=MIRP3007-Charhoi-TNR-PDG-PDC-FCB-Gld-ACH801, Local Cell ID=6, Cell Name=MIRP3007-6, eNodeB ID=43007, Cell FDD TDD indication=CELL_FDD",Reliable,8.738,62.44,19.795,78.842,17.765,105282199,28958719,3301342,0,408,408,166,165,83,83,2704280,293127,852645,97629,779582,73196,3167245,94925,0,0,6045317,266019,1943,100,1943,43.626,HOST03_pmresult_60_202111161400_202111161500_AJKNewCountersFileHuaweiBI.csv,202111161400_202111161500
2021-11-16 14:00,60,"MIRP3008-Burnala-UFN-UDG-PDC-FCB-UCP-Plt-8899/Cell:eNodeB Function Name=MIRP3008-Burnala-UFN-UDG-PDC-FCB-UCP-Plt-8899, Local Cell ID=0, Cell Name=MIRP3008-0, eNodeB ID=43008, Cell FDD TDD indication=CELL_FDD",Reliable,9.635,32.773,55.498,95.36,11.729,116744156,50277823,106248,0,3971,3965,120,120,43,43,3291890,392354,5637176,601782,1164930,153562,1844485,136492,0,0,9075293,1117270,6819,100,6819,54.12,HOST03_pmresult_60_202111161400_202111161500_AJKNewCountersFileHuaweiBI.csv,202111161400_202111161500
2021-11-16 14:00,60,"MIRP3008-Burnala-UFN-UDG-PDC-FCB-UCP-Plt-8899/Cell:eNodeB Function Name=MIRP3008-Burnala-UFN-UDG-PDC-FCB-UCP-Plt-8899, Local Cell ID=1, Cell Name=MIRP3008-1, eNodeB ID=43008, Cell FDD TDD indication=CELL_FDD",Reliable,9.996,37.194,48.371,38.37,14.435,37860994,26557789,195369,0,462,462,0,0,15,15,1410658,168180,1831599,221675,552644,60116,1951830,38836,0,0,6728349,573469,24140,100,24140,54.596,HOST03_pmresult_60_202111161400_202111161500_AJKNewCountersFileHuaweiBI.csv,202111161400_202111161500
2021-11-16 14:00,60,"MIRP3008-Burnala-UFN-UDG-PDC-FCB-UCP-Plt-8899/Cell:eNodeB Function Name=MIRP3008-Burnala-UFN-UDG-PDC-FCB-UCP-Plt-8899, Local Cell ID=2, Cell Name=MIRP3008-2, eNodeB ID=43008, Cell FDD TDD indication=CELL_FDD",Reliable,10.228,47.753,35.283,89.45,16.963,50007388,105307625,1180809,0,2258,2255,31,31,92,92,4598797,518037,3422440,358223,1665059,152548,2689793,78784,0,0,9141623,657359,2498,100,2498,57.928,HOST03_pmresult_60_202111161400_202111161500_AJKNewCountersFileHuaweiBI.csv,202111161400_202111161500
2021-11-16 14:00,60,"MIRP3008-Burnala-UFN-UDG-PDC-FCB-UCP-Plt-8899/Cell:eNodeB Function Name=MIRP3008-Burnala-UFN-UDG-PDC-FCB-UCP-Plt-8899, Local Cell ID=4, Cell Name=MIRP3008-4, eNodeB ID=43008, Cell FDD TDD indication=CELL_FDD",Reliable,9.643,45.92,33.748,52.834,20.332,62087360,28732204,45604,0,1576,1576,238,238,7,7,2224982,259975,1630358,195945,1002347,97926,2006054,90096,0,0,10010054,755526,8076,100,8076,55.736,HOST03_pmresult_60_202111161400_202111161500_AJKNewCountersFileHuaweiBI.csv,202111161400_202111161500
